-7.926701 -9.533011 8.230013 
-7.980790 -9.973393 -9.366844 
-8.052643 -10.836408 -9.649642 
-8.148059 -11.712721 -10.486775 
-8.266979 -12.618621 -11.330979 
-8.409634 -13.557462 -12.202444 
-8.576356 -14.533308 -13.104026 
-8.767593 -15.550550 -14.039387 
-8.983916 -16.613958 -15.012461 
-9.226026 -17.728731 -16.027510 
-9.494761 -18.900557 -17.089155 
-9.791117 -20.135674 -18.202431 
-10.116249 -21.440952 -19.372831 
-10.471495 -22.823986 -20.606369 
-10.858388 -24.293192 -21.909658 
-11.278681 -25.857935 -23.289976 
-11.734365 -27.528671 -24.755373 
-12.227706 -29.317114 -26.314772 
-12.761265 -31.236429 -27.978088 
-13.337946 -33.301472 -29.756384 
-13.961036 -35.529064 -31.662035 
-14.634254 -37.938313 -33.708923 
-15.361820 -40.551014 -35.912666 
-16.148518 -43.392113 -38.290890 
-16.999786 -46.490265 -40.863541 
-17.921818 -49.878532 -43.653244 
-18.921680 -53.595192 -46.685757 
-20.007463 -57.684746 -49.990463 
-21.188450 -62.199146 -53.600975 
-22.475323 -67.199303 -57.555832 
-23.880423 -72.756927 -61.899315 
-25.418056 -78.956825 -66.682411 
-27.104874 -85.899734 -71.963913 
-28.960323 -93.705841 -77.811668 
-31.007233 -102.519196 -84.304016 
-33.272499 -112.513191 -91.531296 
-35.787968 -123.897415 -99.597504 
-38.591518 -136.926208 -108.621803 
-41.728405 -151.909241 -118.739708 
-45.252956 -169.224579 -130.103516 
-49.230663 -189.334351 -142.881058 
-53.740776 -212.803329 -157.251343 
-58.879498 -240.319366 -173.395004 
-64.763840 -272.713989 -191.475250 
-71.536125 -310.977844 -211.603531 
-79.368950 -356.260162 -233.779968 
-88.470032 -409.831055 -257.794495 
-99.085602 -472.965454 -283.069611 
-111.499481 -546.676819 -308.424316 
-126.022369 -631.181091 -331.750000 
-142.961548 -724.920898 -349.638519 
-162.555283 -822.980286 -357.129120 
-184.851028 -914.930786 -347.994934 
-209.511353 -982.903137 -316.317322 
-235.567078 -1002.292480 -260.058105 
-261.232269 -949.218262 -185.821106 
-284.033112 -816.697632 -110.330322 
-301.504669 -630.043091 -52.560120 
-312.277649 -439.965881 -20.081543 
-316.706696 -289.571808 -6.145172 
-316.378448 -190.498383 -0.869019 
-313.061127 -131.826569 1.171188 
-308.077667 -98.741653 1.948593 
-302.248505 -80.506004 2.085655 
-296.044861 -70.744904 1.808212 
-289.733002 -65.918045 1.221840 
-283.465424 -64.083488 0.388405 
-277.332031 -64.163071 -0.653561 
