10 	 75.350000 
20 	 267.660000 
30 	 564.400000 
40 	 959.270000 
50 	 1746.070000 
60 	 2585.690000 
70 	 3723.010000 
80 	 4587.210000 
90 	 5500.350000 
100 	 6598.420000 
110 	 8149.630000 
120 	 9771.450000 
130 	 11550.950000 
140 	 12712.280000 
150 	 14702.530000 
160 	 16054.300000 
170 	 18507.100000 
180 	 20533.510000 
190 	 22738.690000 
200 	 25983.970000 
210 	 29989.950000 
220 	 33091.470000 
230 	 36575.830000 
240 	 40078.670000 
250 	 42480.410000 
260 	 45024.520000 
270 	 48537.850000 
280 	 51925.760000 
290 	 58100.230000 
300 	 61811.670000 
310 	 65599.130000 
320 	 67361.820000 
330 	 73482.330000 
340 	 76326.340000 
350 	 80801.740000 
360 	 87503.710000 
370 	 91416.400000 
380 	 97253.790000 
390 	 100535.360000 
400 	 106253.980000 
410 	 114234.670000 
420 	 121499.810000 
430 	 126438.840000 
440 	 132970.170000 
450 	 137583.600000 
460 	 149331.060000 
470 	 153557.280000 
480 	 160334.890000 
490 	 167235.670000 
500 	 173952.540000 
